lag1_log,lag2_log,lag3_log,lag4_log,wow_pct_lag1,wow_pct_lag2,roll4_mean_log,roll4_std_log,month_sin,month_cos,week_sin,week_cos,is_onset_zone,is_peak_zone,flu_search_index_lag1,target,date,season,weekly_admissions,roll4
7.729735331385051,7.423568444259167,7.176254532017144,6.828712071641684,35.84229390681004,28.079571537872994,7.343102761572171,6.355973786076725,-0.8660254037844386,0.5000000000000001,0.6736956436465572,0.7390089172206591,1,0,21.666666666666668,8.339978571990427,2022-10-29,2022-23,4187.0,1544.5
8.339978571990427,7.729735331385051,7.423568444259167,7.176254532017144,84.12489006156551,35.84229390681004,7.7670522893361715,7.156363947888343,-0.5000000000000004,0.8660254037844384,0.7980172272802395,0.6026346363792564,1,0,21.666666666666668,8.767017621311778,2022-11-05,2022-23,6418.0,2360.5
8.767017621311778,8.339978571990427,7.729735331385051,7.423568444259167,53.28397420587532,84.12489006156551,8.19953289544477,7.66934803386123,-0.5000000000000004,0.8660254037844384,0.8951632913550623,0.4457383557765383,1,0,31.333333333333332,9.057771773331575,2022-11-12,2022-23,8584.0,3638.25
9.057771773331575,8.767017621311778,8.339978571990427,7.729735331385051,33.74883141165472,53.28397420587532,8.587977790134198,7.913629538152077,-0.5000000000000004,0.8660254037844384,0.961825643172819,0.273662990072083,1,0,31.333333333333332,9.300363874623772,2022-11-19,2022-23,10941.0,5365.75
9.300363874623772,9.057771773331575,8.767017621311778,8.339978571990427,27.458061509785647,33.74883141165472,8.927115020241343,7.9713824637515165,-0.5000000000000004,0.8660254037844384,0.9957341762950345,0.09226835946330202,1,0,31.333333333333332,9.807912337613098,2022-11-26,2022-23,18176.0,7532.5
9.807912337613098,9.300363874623772,9.057771773331575,8.767017621311778,66.12741065716115,27.458061509785647,9.308442106309426,8.539089071985721,-2.4492935982947064e-16,1.0,0.9957341762950346,-0.09226835946330189,1,0,31.333333333333332,10.19828177359369,2022-12-03,2022-23,26856.0,11029.75
10.19828177359369,9.807912337613098,9.300363874623772,9.057771773331575,47.75528169014085,66.12741065716115,9.689071431171142,9.015421588221066,-2.4492935982947064e-16,1.0,0.961825643172819,-0.2736629900720829,1,1,32.666666666666664,10.087723941534854,2022-12-10,2022-23,24045.0,16139.25
10.087723941534854,10.19828177359369,9.807912337613098,9.300363874623772,-10.466934763181413,47.75528169014085,9.903762514730559,8.859755368399378,-2.4492935982947064e-16,1.0,0.8951632913550626,-0.4457383557765378,0,1,32.666666666666664,9.981744050501895,2022-12-17,2022-23,21627.0,20004.5
9.981744050501895,10.087723941534854,10.19828177359369,9.807912337613098,-10.056144728633809,-10.466934763181413,10.029106473960287,8.2117973268863,-2.4492935982947064e-16,1.0,0.7980172272802396,-0.6026346363792563,0,1,32.666666666666664,9.88659568486591,2022-12-24,2022-23,19664.0,22676.0
9.88659568486591,9.981744050501895,10.087723941534854,10.19828177359369,-9.076617191473623,-10.056144728633809,10.045377663535744,8.041824849371553,-2.4492935982947064e-16,1.0,0.6736956436465571,-0.7390089172206593,0,1,32.666666666666664,9.878169744551839,2022-12-31,2022-23,19499.0,23048.0
9.878169744551839,9.88659568486591,9.981744050501895,10.087723941534854,-0.839096826688368,-9.076617191473623,9.962216260596287,7.661328258544151,0.49999999999999994,0.8660254037844387,0.5264321628773561,-0.850217135729614,0,1,32.666666666666664,9.554780778246572,2023-01-07,2022-23,14111.0,21208.75
9.554780778246572,9.878169744551839,9.88659568486591,9.981744050501895,-27.632186265962353,-0.839096826688368,9.837681561831591,8.07883037196485,0.49999999999999994,0.8660254037844387,0.3612416661871533,-0.9324722294043557,0,1,12.666666666666666,8.88016824790345,2023-01-14,2022-23,7187.0,18725.25
8.88016824790345,9.554780778246572,9.878169744551839,9.88659568486591,-49.06810289844802,-27.632186265962353,9.623525603099486,8.679727148805434,0.49999999999999994,0.8660254037844387,0.18374951781657037,-0.9829730996839018,0,0,12.666666666666666,8.412943170042439,2023-01-21,2022-23,4504.0,15115.25
8.412943170042439,8.88016824790345,9.554780778246572,9.878169744551839,-37.33129261165994,-49.06810289844802,9.334878319536271,8.82303840874143,0.49999999999999994,0.8660254037844387,1.2246467991473532e-16,-1.0,0,0,12.666666666666666,8.039802343736485,2023-01-28,2022-23,3101.0,11325.25
8.039802343736485,8.412943170042439,8.88016824790345,9.554780778246572,-31.15008880994672,-37.33129261165994,8.885544698184301,8.495802184605841,0.8660254037844386,0.5000000000000001,-0.18374951781657012,-0.9829730996839018,0,0,12.666666666666666,7.8628820346414905,2023-02-04,2022-23,2598.0,7225.75
7.8628820346414905,8.039802343736485,8.412943170042439,8.88016824790345,-16.220574008384393,-31.15008880994672,8.37758623702982,7.6298054880928605,0.8660254037844386,0.5000000000000001,-0.3612416661871527,-0.9324722294043559,0,0,9.666666666666666,7.689828668736484,2023-02-11,2022-23,2185.0,4347.5
7.689828668736484,7.8628820346414905,8.039802343736485,8.412943170042439,-15.896843725943032,-16.220574008384393,8.038512020976814,6.918713173015648,0.8660254037844386,0.5000000000000001,-0.5264321628773558,-0.8502171357296141,0,0,9.666666666666666,7.554858521040676,2023-02-18,2022-23,1909.0,3097.0
7.554858521040676,7.689828668736484,7.8628820346414905,8.039802343736485,-12.631578947368416,-15.896843725943032,7.803537134224752,6.25414721583062,0.8660254037844386,0.5000000000000001,-0.6736956436465572,-0.7390089172206591,0,0,9.666666666666666,7.408530566894626,2023-02-25,2022-23,1649.0,2448.25
