lag1_log,lag2_log,lag3_log,lag4_log,wow_pct_lag1,wow_pct_lag2,roll4_mean_log,roll4_std_log,month_sin,month_cos,week_sin,week_cos,is_onset_zone,is_peak_zone,flu_search_index_lag1,target,date,season,weekly_admissions,roll4
7.317876198626496,7.408530566894626,7.554858521040676,7.689828668736484,-8.671922377198305,-13.61969617600838,7.502876094243522,5.70478434852426,1.0,6.123233995736766e-17,-0.895163291355062,-0.4457383557765388,0,0,7.666666666666667,7.22402480828583,2023-03-11,2022-23,1371.0,1812.25
7.22402480828583,7.317876198626496,7.408530566894626,7.554858521040676,-8.964143426294823,-8.671922377198305,7.383834166418293,5.4428966511533545,1.0,6.123233995736766e-17,-0.961825643172819,-0.2736629900720831,0,0,7.666666666666667,7.252762418053187,2023-03-18,2022-23,1411.0,1608.75
7.252762418053187,7.22402480828583,7.317876198626496,7.408530566894626,2.9175784099197744,-8.964143426294823,7.303338387235851,4.824847400170334,1.0,6.123233995736766e-17,-0.9957341762950346,-0.0922683594633019,0,0,7.666666666666667,7.197435354096591,2023-03-25,2022-23,1335.0,1484.25
7.197435354096591,7.252762418053187,7.22402480828583,7.317876198626496,-5.386250885896526,2.9175784099197744,7.249037358313388,4.313349293990279,0.8660254037844387,-0.4999999999999998,-0.9957341762950344,0.0922683594633024,0,0,7.666666666666667,7.1631723908466425,2023-04-01,2022-23,1290.0,1405.75
7.1631723908466425,7.197435354096591,7.252762418053187,7.22402480828583,-3.3707865168539297,-5.386250885896526,7.209894836522845,3.9619214983985818,0.8660254037844387,-0.4999999999999998,-0.961825643172819,0.2736629900720828,0,0,6.0,7.089243155027514,2023-04-08,2022-23,1198.0,1351.75
7.089243155027514,7.1631723908466425,7.197435354096591,7.252762418053187,-7.131782945736431,-3.3707865168539297,7.1774006639477665,4.499768053940182,0.8660254037844387,-0.4999999999999998,-0.8951632913550626,0.4457383557765377,0,0,6.0,6.983789965258135,2023-04-15,2022-23,1078.0,1308.5
6.983789965258135,7.089243155027514,7.1631723908466425,7.197435354096591,-10.016694490818034,-7.131782945736431,7.111716010879573,4.740779976003462,0.8660254037844387,-0.4999999999999998,-0.7980172272802397,0.6026346363792562,0,0,6.0,6.8885724595653635,2023-04-22,2022-23,980.0,1225.25
6.8885724595653635,6.983789965258135,7.089243155027514,7.1631723908466425,-9.090909090909092,-10.016694490818034,7.036588150825105,4.917928255557853,0.8660254037844387,-0.4999999999999998,-0.6736956436465578,0.7390089172206585,0,0,6.0,6.806829360392176,2023-04-29,2022-23,903.0,1136.5
6.806829360392176,6.8885724595653635,6.983789965258135,7.089243155027514,-7.857142857142863,-9.090909090909092,6.947696886075085,4.856010279137143,0.4999999999999999,-0.8660254037844387,-0.5264321628773562,0.8502171357296139,0,0,6.0,6.899723107284872,2023-05-06,2022-23,991.0,1039.75
6.899723107284872,6.806829360392176,6.8885724595653635,6.983789965258135,9.745293466223703,-7.857142857142863,6.8966943316227125,4.285551962003467,0.4999999999999999,-0.8660254037844387,-0.361241666187153,0.9324722294043558,0,0,5.333333333333333,6.8885724595653635,2023-05-13,2022-23,980.0,988.0
