seed,horizon,model,split,mae,rmse
5,4,Ridge,val,9780.353832064675,15613.989401937108
5,4,Ridge,test,5303.434353878573,9569.334971413842
5,4,Rolling Mean,val,17288.54464285714,20605.19540300412
5,4,Rolling Mean,test,10372.098214285714,13743.03773709814
6,4,MLP,val,9570.427427975295,15399.034195278422
6,4,MLP,test,5933.371798784106,9818.375511994976
6,4,XGBoost,val,13338.687327702504,19058.572074412976
6,4,XGBoost,test,7643.438521128653,11275.307153101074
6,4,LightGBM,val,14188.59783810804,20577.673034677424
6,4,LightGBM,test,7819.372992498829,11342.981514664556
6,4,Ridge,val,9780.353832064675,15613.989401937108
6,4,Ridge,test,5303.434353878573,9569.334971413842
6,4,Rolling Mean,val,17288.54464285714,20605.19540300412
6,4,Rolling Mean,test,10372.098214285714,13743.03773709814
7,4,MLP,val,11265.57050360016,16834.820843045356
7,4,MLP,test,5201.211937067516,9634.514724050232
7,4,XGBoost,val,13166.585971328936,18887.323445397218
7,4,XGBoost,test,7654.101861624267,11342.021414899811
7,4,LightGBM,val,14507.371476656293,20738.021312962428
7,4,LightGBM,test,7572.938001974945,11198.691087572519
7,4,Ridge,val,9780.353832064675,15613.989401937108
7,4,Ridge,test,5303.434353878573,9569.334971413842
7,4,Rolling Mean,val,17288.54464285714,20605.19540300412
7,4,Rolling Mean,test,10372.098214285714,13743.03773709814
8,4,MLP,val,11408.074518815707,17073.194635735163
8,4,MLP,test,5423.328599918133,9781.128732029169
8,4,XGBoost,val,12695.480512983273,18591.53737482673
8,4,XGBoost,test,7608.49556340859,11252.39108274921
8,4,LightGBM,val,14573.174785715715,20930.376412618232
8,4,LightGBM,test,7661.016623117513,11203.119955997186
8,4,Ridge,val,9780.353832064675,15613.989401937108
8,4,Ridge,test,5303.434353878573,9569.334971413842
8,4,Rolling Mean,val,17288.54464285714,20605.19540300412
8,4,Rolling Mean,test,10372.098214285714,13743.03773709814
9,4,MLP,val,9988.774756465116,15363.286991753554
9,4,MLP,test,4863.833495710416,8787.632990691296
9,4,XGBoost,val,13327.577244762859,18892.6306813414
9,4,XGBoost,test,7959.754962787165,11542.785099950332
9,4,LightGBM,val,14267.968386900608,20761.002635044388
9,4,LightGBM,test,7401.12039882468,11054.94347918762
9,4,Ridge,val,9780.353832064675,15613.989401937108
9,4,Ridge,test,5303.434353878573,9569.334971413842
9,4,Rolling Mean,val,17288.54464285714,20605.19540300412
9,4,Rolling Mean,test,10372.098214285714,13743.03773709814
10,4,MLP,val,9671.005371952271,15085.283379032497
10,4,MLP,test,5166.27455805908,9421.90332153081
10,4,XGBoost,val,12958.754528351028,18711.540409944082
10,4,XGBoost,test,7725.656366935755,11316.754410966281
10,4,LightGBM,val,14400.707302180821,20701.88862739886
10,4,LightGBM,test,7639.098299606334,11318.373516617758
10,4,Ridge,val,9780.353832064675,15613.989401937108
10,4,Ridge,test,5303.434353878573,9569.334971413842
10,4,Rolling Mean,val,17288.54464285714,20605.19540300412
10,4,Rolling Mean,test,10372.098214285714,13743.03773709814
11,4,MLP,val,9711.66628584961,15243.318915068283
11,4,MLP,test,5634.073136252208,9870.54079401057
11,4,XGBoost,val,13113.459395994461,18851.730538013067
11,4,XGBoost,test,7608.006695314244,11209.303477205638
11,4,LightGBM,val,14080.360112090537,20543.48672897458
11,4,LightGBM,test,7560.338698355713,11180.052701135797
11,4,Ridge,val,9780.353832064675,15613.989401937108
11,4,Ridge,test,5303.434353878573,9569.334971413842
11,4,Rolling Mean,val,17288.54464285714,20605.19540300412
11,4,Rolling Mean,test,10372.098214285714,13743.03773709814
12,4,MLP,val,10017.91896767749,14006.776484785414
12,4,MLP,test,5487.500301578164,8954.35453070926
12,4,XGBoost,val,13140.819798534974,18909.332049810102
12,4,XGBoost,test,7943.290881137783,11502.913085759323
12,4,LightGBM,val,14194.772307833495,20655.845162754504
12,4,LightGBM,test,7662.156861979776,11251.775764029882
12,4,Ridge,val,9780.353832064675,15613.989401937108
12,4,Ridge,test,5303.434353878573,9569.334971413842
12,4,Rolling Mean,val,17288.54464285714,20605.19540300412
12,4,Rolling Mean,test,10372.098214285714,13743.03773709814
13,4,MLP,val,9909.361110129166,15231.572125880546
13,4,MLP,test,6037.419716695544,9991.893532527602
13,4,XGBoost,val,13289.993866718349,18913.84892986804
13,4,XGBoost,test,7816.879022442495,11455.647153050144
13,4,LightGBM,val,14283.700743306703,20641.771957291894
13,4,LightGBM,test,7422.182316049221,11166.928620607088
13,4,Ridge,val,9780.353832064675,15613.989401937108
13,4,Ridge,test,5303.434353878573,9569.334971413842
13,4,Rolling Mean,val,17288.54464285714,20605.19540300412
13,4,Rolling Mean,test,10372.098214285714,13743.03773709814
14,4,MLP,val,10073.54855450448,15844.713796232945
14,4,MLP,test,5243.033667687487,9382.061704138909
14,4,XGBoost,val,13114.368593459794,18858.946452200034
14,4,XGBoost,test,7804.766031403684,11310.164039748615
14,4,LightGBM,val,14045.678180206405,20494.395505650744
14,4,LightGBM,test,7727.636934177833,11321.070280646501
14,4,Ridge,val,9780.353832064675,15613.989401937108
14,4,Ridge,test,5303.434353878573,9569.334971413842
14,4,Rolling Mean,val,17288.54464285714,20605.19540300412
14,4,Rolling Mean,test,10372.098214285714,13743.03773709814
15,4,MLP,val,8067.609678825333,12907.902898732165
15,4,MLP,test,4916.79259400834,9418.071893145374
15,4,XGBoost,val,13051.400940396788,18799.96861970895
15,4,XGBoost,test,7661.851787031591,11154.72786263755
15,4,LightGBM,val,14327.818698980342,20646.20362016655
15,4,LightGBM,test,7635.193543620228,11367.707339421622
15,4,Ridge,val,9780.353832064675,15613.989401937108
15,4,Ridge,test,5303.434353878573,9569.334971413842
15,4,Rolling Mean,val,17288.54464285714,20605.19540300412
15,4,Rolling Mean,test,10372.098214285714,13743.03773709814
