seed,horizon,model,split,mae,rmse
14,1,MLP,test,1845.211441051478,3471.1374498348214
14,1,XGBoost,val,4294.733708850375,6327.1338206657965
14,1,XGBoost,test,1907.3306020722052,3363.67213597418
14,1,LightGBM,val,4574.044861196793,6971.663035442236
14,1,LightGBM,test,2080.4776943730935,3701.0903165516784
14,1,Ridge,val,3653.1391899383116,5736.60311446861
14,1,Ridge,test,2405.289755797775,4740.320111163442
14,1,Rolling Mean,val,7959.258064516129,10496.765623199704
14,1,Rolling Mean,test,5363.798387096775,8506.835342378428
15,1,MLP,val,3270.5312954262645,5120.8432380199365
15,1,MLP,test,1973.5007829650622,3615.4024839358467
15,1,XGBoost,val,4079.5474223260117,6008.359982298098
15,1,XGBoost,test,1731.9177930773958,2852.390434950599
15,1,LightGBM,val,4557.349969143508,6940.882882418008
15,1,LightGBM,test,2035.7976332606756,3562.833954177919
15,1,Ridge,val,3653.1391899383116,5736.60311446861
15,1,Ridge,test,2405.289755797775,4740.320111163442
15,1,Rolling Mean,val,7959.258064516129,10496.765623199704
15,1,Rolling Mean,test,5363.798387096775,8506.835342378428
1,2,MLP,val,5088.056802631917,9079.214790974282
1,2,MLP,test,3499.8000823443276,7092.3631029545295
1,2,XGBoost,val,8743.915819651784,13381.513621587259
1,2,XGBoost,test,4616.3974821408565,7730.3285794918565
1,2,LightGBM,val,9914.49711522492,14748.58686831958
1,2,LightGBM,test,4810.303626086229,8061.2487771657015
1,2,Ridge,val,5564.4317722801325,9434.151337166622
1,2,Ridge,test,3939.4320545488736,7810.7281540606355
1,2,Rolling Mean,val,11183.316666666668,14028.674211533082
1,2,Rolling Mean,test,7325.725,10743.304603430144
2,2,MLP,val,5356.791558748435,8883.46282991953
2,2,MLP,test,3439.238984130429,6766.548908530996
2,2,XGBoost,val,8720.621450952453,13342.536587781333
2,2,XGBoost,test,4584.034280937424,7618.887133302269
2,2,LightGBM,val,9635.250716919463,14232.056753647657
2,2,LightGBM,test,4803.774248592688,7858.9860770835485
2,2,Ridge,val,5564.4317722801325,9434.151337166622
2,2,Ridge,test,3939.4320545488736,7810.7281540606355
2,2,Rolling Mean,val,11183.316666666668,14028.674211533082
2,2,Rolling Mean,test,7325.725,10743.304603430144
3,2,MLP,val,5541.1396506564315,8674.98249309048
3,2,MLP,test,3774.1702679933396,7277.970042904218
3,2,XGBoost,val,8504.623714574422,13027.779836978185
3,2,XGBoost,test,4473.419445198392,7505.487637059016
3,2,LightGBM,val,9937.004485996451,14832.024418220893
