lag1_rel,lag2_rel,lag3_rel,lag4_rel,wow_pct_lag1,wow_pct_lag2,roll4_cv,month_sin,month_cos,week_sin,week_cos,is_onset_zone,is_peak_zone,covid_suppressed,flu_search_index_lag1,target_rel_h1,target_rel_h2,target_rel_h3,target_rel_h4,weekly_admissions_h1,weekly_admissions_h2,weekly_admissions_h3,weekly_admissions_h4,target,date,season,weekly_admissions,roll4,wow_pct
1.32004497557869,-1.5040773967762742,-4.069026754237811,-4.069026754237811,100.0,100.0,1.8634683194768191,-0.8660254037844386,0.5000000000000001,0.6736956436465572,0.7390089172206591,1,0,1,11.666666666666666,1.992430164690206,2.1005839782536455,2.3042930353392013,2.2390716872717196,428.0,477.0,585.0,548.0,6.061456918928017,2020-10-31,2020-21,428.0,57.5,96.3302752293578
0.9524857241108996,0.2801005349993835,-2.5440218373555807,-5.1089711948171175,96.3302752293578,100.0,1.228961244641757,-0.5000000000000004,0.8660254037844384,0.7980172272802395,0.6026346363792564,1,0,1,11.666666666666666,1.060639537674339,1.2643485947598947,1.199127246692413,1.274535440066888,477.0,585.0,548.0,591.0,6.169610732491456,2020-11-07,2020-21,477.0,164.5,11.448598130841114
0.5179991301641653,0.4098453166007259,-0.2625398725107901,-3.0866622448657544,11.448598130841114,96.3302752293578,0.7512610231517474,-0.5000000000000004,0.8660254037844384,0.8951632913550623,0.4457383557765383,1,0,1,7.666666666666667,0.7217081872497211,0.6564868391822394,0.7318950325567144,0.7079622663450866,585.0,548.0,591.0,577.0,6.373319789577012,2020-11-14,2020-21,585.0,283.75,22.64150943396226
0.3141965939952156,0.1104875369096598,0.0023337233462203,-0.6700514657652956,22.64150943396226,11.448598130841114,0.3606506685775738,-0.5000000000000004,0.8660254037844384,0.961825643172819,0.273662990072083,1,0,1,7.666666666666667,0.2489752459277339,0.3243834393022089,0.3004506730905811,0.3477567904875176,548.0,591.0,577.0,605.0,6.3080984415095305,2020-11-21,2020-21,548.0,427.0,-6.3247863247863245
0.0727078039048105,0.1379291519722922,-0.0657799051132634,-0.1739337186767029,-6.3247863247863245,22.64150943396226,0.1382328437968993,-0.5000000000000004,0.8660254037844384,0.9957341762950344,0.092268359463302,1,0,1,7.666666666666667,0.1481159972792856,0.1241832310676578,0.1714893484645943,0.4429514770496121,591.0,577.0,605.0,794.0,6.3835066348840055,2020-11-28,2020-21,591.0,509.5,7.846715328467147
0.0713182081229497,-0.0040899852515252,0.0611313628159564,-0.1425776942695993,7.846715328467147,-6.3247863247863245,0.0952379379626362,-2.4492935982947064e-16,1.0,0.9957341762950346,-0.0922683594633018,1,0,1,7.666666666666667,0.0473854419113219,0.0946915593082584,0.3661536878932763,0.4620354595965583,577.0,605.0,794.0,874.0,6.359573868672378,2020-12-05,2020-21,577.0,550.25,-2.368866328257191
0.0030322743615194,0.0269650405731471,-0.0484431528013278,0.0167781952661538,-2.368866328257191,7.846715328467147,0.0331166828768237,-2.4492935982947064e-16,1.0,0.961825643172819,-0.2736629900720829,1,1,1,7.0,0.0503383917584558,0.3218005203434737,0.4176822920467558,0.2487563266373431,605.0,794.0,874.0,738.0,6.406879986069314,2020-12-12,2020-21,605.0,575.25,4.8526863084922045
0.0416990291677477,-0.0056070882291887,0.018325677982439,-0.057082515392036,4.8526863084922045,-2.368866328257191,0.0419644639702431,-2.4492935982947064e-16,1.0,0.8951632913550626,-0.4457383557765378,0,1,1,7.0,0.3131611577527655,0.4090429294560476,0.2401169640466349,0.1361087136388228,794.0,874.0,738.0,665.0,6.678342114654332,2020-12-19,2020-21,794.0,580.25,31.23966942148759
0.2125862685083328,-0.0588758600766849,-0.1061819774736214,-0.0822492112619937,31.23966942148759,4.8526863084922045,0.1591611219470464,-2.4492935982947064e-16,1.0,0.7980172272802396,-0.6026346363792563,0,1,1,7.0,0.3084680402116149,0.1395420748022022,0.0355338243943901,0.0279979937056866,874.0,738.0,665.0,660.0,6.774223886357614,2020-12-26,2020-21,874.0,641.75,10.075566750629728
0.204041449440723,0.1081596777374409,-0.1633024508475768,-0.2106085682445133,10.075566750629728,31.23966942148759,0.2028074222461006,0.4999999999999999,0.8660254037844387,0.6736956436465571,-0.7390089172206593,0,1,1,7.0,0.0351154840313103,-0.0688927663765017,-0.0764285970652052,-0.2675634611719859,738.0,665.0,660.0,545.0,6.6052979209482015,2021-01-02,2020-21,738.0,712.5,-15.560640732265451
-0.0197628270931939,0.1491631383162186,0.0532813666129365,-0.2181807619720812,-15.560640732265451,10.075566750629728,0.1503976381471956,0.4999999999999999,0.8660254037844387,0.5264321628773561,-0.850217135729614,0,1,1,5.0,-0.1237710775010061,-0.1313069081897095,-0.3224417722964903,-0.2381814286787502,665.0,660.0,545.0,593.0,6.501289670540389,2021-01-09,2020-21,665.0,752.75,-9.891598915989164
-0.1434761485803379,-0.0394678981725258,0.1294580672368868,0.0335762955336047,-9.891598915989164,-15.560640732265451,0.1150853245201977,0.4999999999999999,0.8660254037844387,0.3612416661871533,-0.9324722294043556,0,1,1,5.0,-0.1510119792690414,-0.3421468433758221,-0.2578864997580821,-0.3967229446122982,660.0,545.0,593.0,516.0,6.493753839851686,2021-01-16,2020-21,660.0,767.75,-0.7518796992481258
-0.1064567375824188,-0.0989209068937153,0.0050873435140967,0.1740133089235094,-0.7518796992481258,-9.891598915989164,0.135858742179493,0.4999999999999999,0.8660254037844387,0.1837495178165703,-0.9829730996839018,0,0,1,5.0,-0.2975916016891995,-0.2133312580714594,-0.3521677029256755,-0.4201939237815324,545.0,593.0,516.0,482.0,6.302618975744905,2021-01-23,2020-21,545.0,734.25,-17.42424242424242
-0.1789581535315259,0.0121767105752548,0.0197125412639582,0.1237207916717704,-17.42424242424242,-0.7518796992481258,0.1223089390968019,0.4999999999999999,0.8660254037844387,1.2246467991473532e-16,-1.0,0,0,1,5.0,-0.0946978099137858,-0.2335342547680019,-0.3015604756238588,-0.3036330152258308,593.0,516.0,482.0,481.0,6.386879319362645,2021-01-30,2020-21,593.0,652.0,8.807339449541285
-0.0375844360468207,-0.1218447796645607,0.0692900844422199,0.0768259151309234,8.807339449541285,-17.42424242424242,0.0933255491103143,0.8660254037844386,0.5000000000000001,-0.1837495178165701,-0.9829730996839018,0,0,1,5.0,-0.1764208809010368,-0.2444471017568936,-0.2465196413588657,-0.2118576596579471,516.0,482.0,481.0,498.0,6.248042874508429,2021-02-06,2020-21,516.0,615.75,-12.98482293423272
-0.1141227882713771,0.0247136565828389,-0.059546687034901,0.1315881770718796,-12.98482293423272,8.807339449541285,0.1087833696485208,0.8660254037844386,0.5000000000000001,-0.3612416661871527,-0.932472229404356,0,0,1,4.0,-0.1821490091272339,-0.184221548729206,-0.1495595670282874,-0.2158364051109087,482.0,481.0,498.0,466.0,6.180016653652572,2021-02-13,2020-21,482.0,578.5,-6.5891472868217065
-0.102250093243434,-0.0342238723875771,0.1046125724666389,0.0203522288488988,-6.5891472868217065,-12.98482293423272,0.0880349009254171,0.8660254037844386,0.5000000000000001,-0.5264321628773558,-0.8502171357296141,0,0,1,4.0,-0.1043226328454061,-0.0696606511444875,-0.1359374892271088,-0.2278274006266354,481.0,498.0,466.0,425.0,6.1779441140506,2021-02-20,2020-21,481.0,534.0,-0.207468879668049
-0.0739597691152882,-0.0718872295133161,-0.0038610086574593,0.1349754361967567,-0.207468879668049,-6.5891472868217065,0.1015059799786086,0.8660254037844386,0.5000000000000001,-0.6736956436465572,-0.7390089172206591,0,0,1,4.0,-0.0392977874143696,-0.1055746254969909,-0.1974645368965175,-0.2188176613670869,498.0,466.0,425.0,416.0,6.212606095751519,2021-02-27,2020-21,498.0,518.0,3.534303534303529
0.0075434101728584,-0.0271185715280601,-0.0250460319260881,0.0429801889297687,3.534303534303529,-0.207468879668049,0.0333020665023775,1.0,6.123233995736766e-17,-0.7980172272802389,-0.6026346363792572,0,0,1,4.0,-0.0587334279097628,-0.1506233393092895,-0.1719764637798588,-0.2492253161138293,466.0,425.0,416.0,385.0,6.1463292576688975,2021-03-06,2020-21,466.0,494.25,-6.425702811244982
-0.0331696636397262,0.033107174442895,-0.0015548072580235,0.0005177323439484,-6.425702811244982,3.534303534303529,0.0271375404518791,1.0,6.123233995736766e-17,-0.895163291355062,-0.4457383557765388,0,0,1,3.3333333333333335,-0.1250595750392529,-0.1464126995098222,-0.2236615518437927,-0.2659959156703539,425.0,416.0,385.0,369.0,6.054439346269371,2021-03-13,2020-21,425.0,481.75,-8.798283261802576
-0.0950967554091057,-0.0032068440095791,0.0630699940730421,0.0284080123721235,-8.798283261802576,-6.425702811244982,0.0667457374699477,1.0,6.123233995736766e-17,-0.961825643172819,-0.2736629900720831,0,0,1,3.3333333333333335,-0.1164498798796751,-0.1936987322136456,-0.2360330960402068,-0.0559663316333409,416.0,385.0,369.0,442.0,6.0330862217988015,2021-03-20,2020-21,416.0,467.5,-2.117647058823524
-0.0811489024766034,-0.059795778006034,0.0320941333934925,0.0983709714761138,-2.117647058823524,-8.798283261802576,0.0842372509472337,1.0,6.123233995736766e-17,-0.9957341762950346,-0.0922683594633019,0,0,1,3.3333333333333335,-0.1583977548105739,-0.2007321186371351,-0.0206653542302692,-0.0787536917506486,385.0,369.0,442.0,417.0,5.955837369464831,2021-03-27,2020-21,385.0,451.25,-7.451923076923073
-0.0938960857671267,-0.0166472334331562,0.0047058910374131,0.0965958024369397,-7.451923076923073,-2.117647058823524,0.0789517886856881,0.8660254037844387,-0.4999999999999998,-0.9957341762950344,0.0922683594633024,0,0,1,3.3333333333333335,-0.1362304495936879,0.0438363148131779,-0.0142520227072013,0.1528020619559651,369.0,442.0,417.0,493.0,5.91350300563827,2021-04-03,2020-21,369.0,423.0,-4.155844155844157
-0.0773363460757936,-0.0350019822492324,0.042246870084738,0.0635999945553074,-4.155844155844157,-7.451923076923073,0.0657281382155874,0.8660254037844387,-0.4999999999999998,-0.961825643172819,0.2736629900720828,0,0,1,3.3333333333333335,0.1027304183310722,0.0446420808106928,0.2116961654738594,0.0635999945553074,442.0,417.0,493.0,425.0,6.093569770045136,2021-04-10,2020-21,442.0,398.75,19.783197831978327
0.0921548920839852,-0.0879118723228806,-0.0455775084963194,0.031671343837651,19.783197831978327,-4.155844155844157,0.0806610660654093,0.8660254037844387,-0.4999999999999998,-0.8951632913550626,0.4457383557765377,0,0,1,3.3333333333333335,0.0340665545636058,0.2011206392267723,0.0530244683082203,-0.1578704609297903,417.0,493.0,425.0,344.0,6.035481432524756,2021-04-17,2020-21,417.0,403.0,-5.65610859728507
0.0334479340675404,0.0915362715879197,-0.0885304928189461,-0.0461961289923849,-5.65610859728507,19.783197831978327,0.080950462336298,0.8660254037844387,-0.4999999999999998,-0.7980172272802397,0.6026346363792562,0,0,1,3.3333333333333335,0.2005020187307069,0.0524058478121549,-0.1584890814258557,-0.2274819529128073,493.0,425.0,344.0,321.0,6.202535517187923,2021-04-24,2020-21,493.0,403.25,18.225419664268586
0.1358475488423529,-0.0312065358208135,0.0268818016995657,-0.1531849627073001,18.225419664268586,-5.65610859728507,0.1200433533379494,0.4999999999999999,-0.8660254037844387,-0.6736956436465578,0.7390089172206585,0,0,1,3.3333333333333335,-0.012248622076199,-0.2231435513142097,-0.2921364228011613,-0.3562609509707002,425.0,344.0,321.0,301.0,6.054439346269371,2021-05-01,2020-21,425.0,430.25,-13.793103448275868
-0.0441965759004006,0.1038995950181513,-0.0631544896450151,-0.0050661521246357,-13.793103448275868,18.225419664268586,0.0768280823017579,0.4999999999999999,-0.8660254037844387,-0.5264321628773562,0.8502171357296139,0,0,1,3.0,-0.2550915051384113,-0.3240843766253629,-0.3882089047949018,-0.4082764678457113,344.0,321.0,301.0,295.0,5.84354441703136,2021-05-08,2020-21,344.0,444.25,-19.05882352941176
