lag1_rel,lag2_rel,lag3_rel,lag4_rel,wow_pct_lag1,wow_pct_lag2,roll4_cv,month_sin,month_cos,week_sin,week_cos,is_onset_zone,is_peak_zone,covid_suppressed,flu_search_index_lag1,target_rel_h1,target_rel_h2,target_rel_h3,target_rel_h4,weekly_admissions_h1,weekly_admissions_h2,weekly_admissions_h3,weekly_admissions_h4,target,date,season,weekly_admissions,roll4,wow_pct
1.32004497557869,-1.5040773967762742,-4.069026754237811,-4.069026754237811,100.0,100.0,1.8634683194768193,-0.8660254037844386,0.5000000000000001,0.6736956436465572,0.7390089172206591,1,0,1,11.666666666666666,1.992430164690206,2.1005839782536455,2.3042930353392013,2.2390716872717196,428.0,477.0,585.0,548.0,6.061456918928017,2020-10-31,2020-21,428.0,57.5,96.3302752293578
0.9524857241108995,0.2801005349993835,-2.5440218373555807,-5.1089711948171175,96.3302752293578,100.0,1.228961244641757,-0.5000000000000004,0.8660254037844384,0.7980172272802395,0.6026346363792564,1,0,1,11.666666666666666,1.060639537674339,1.2643485947598947,1.199127246692413,1.274535440066888,477.0,585.0,548.0,591.0,6.169610732491456,2020-11-07,2020-21,477.0,164.5,11.448598130841114
0.5179991301641653,0.4098453166007259,-0.26253987251079014,-3.0866622448657544,11.448598130841114,96.3302752293578,0.7512610231517474,-0.5000000000000004,0.8660254037844384,0.8951632913550623,0.4457383557765383,1,0,1,7.666666666666667,0.7217081872497211,0.6564868391822394,0.7318950325567144,0.7079622663450866,585.0,548.0,591.0,577.0,6.373319789577012,2020-11-14,2020-21,585.0,283.75,22.64150943396226
0.3141965939952156,0.11048753690965984,0.0023337233462203955,-0.6700514657652956,22.64150943396226,11.448598130841114,0.36065066857757383,-0.5000000000000004,0.8660254037844384,0.961825643172819,0.273662990072083,1,0,1,7.666666666666667,0.2489752459277339,0.3243834393022089,0.30045067309058116,0.3477567904875176,548.0,591.0,577.0,605.0,6.3080984415095305,2020-11-21,2020-21,548.0,427.0,-6.3247863247863245
0.07270780390481058,0.13792915197229227,-0.06577990511326348,-0.17393371867670293,-6.3247863247863245,22.64150943396226,0.13823284379689935,-0.5000000000000004,0.8660254037844384,0.9957341762950345,0.09226835946330202,1,0,1,7.666666666666667,0.1481159972792856,0.12418323106765783,0.1714893484645943,0.44295147704961213,591.0,577.0,605.0,794.0,6.3835066348840055,2020-11-28,2020-21,591.0,509.5,7.8467153284671465
0.07131820812294976,-0.004089985251525263,0.061131362815956436,-0.14257769426959932,7.8467153284671465,-6.3247863247863245,0.09523793796263628,-2.4492935982947064e-16,1.0,0.9957341762950346,-0.09226835946330189,1,0,1,7.666666666666667,0.04738544191132199,0.09469155930825846,0.3661536878932763,0.46203545959655834,577.0,605.0,794.0,874.0,6.359573868672378,2020-12-05,2020-21,577.0,550.25,-2.368866328257191
0.003032274361519427,0.026965040573147192,-0.04844315280132783,0.016778195266153872,-2.368866328257191,7.8467153284671465,0.03311668287682378,-2.4492935982947064e-16,1.0,0.961825643172819,-0.2736629900720829,1,1,1,7.0,0.05033839175845589,0.32180052034347373,0.4176822920467558,0.24875632663734315,605.0,794.0,874.0,738.0,6.406879986069314,2020-12-12,2020-21,605.0,575.25,4.8526863084922045
0.0416990291677477,-0.005607088229188761,0.018325677982439004,-0.057082515392036015,4.8526863084922045,-2.368866328257191,0.04196446397024313,-2.4492935982947064e-16,1.0,0.8951632913550626,-0.4457383557765378,0,1,1,7.0,0.31316115775276554,0.4090429294560476,0.24011696404663496,0.13610871363882282,794.0,874.0,738.0,665.0,6.678342114654332,2020-12-19,2020-21,794.0,580.25,31.23966942148759
0.21258626850833284,-0.058875860076684994,-0.10618197747362146,-0.0822492112619937,31.23966942148759,4.8526863084922045,0.15916112194704643,-2.4492935982947064e-16,1.0,0.7980172272802396,-0.6026346363792563,0,1,1,7.0,0.3084680402116149,0.13954207480220227,0.03553382439439012,0.027997993705686675,874.0,738.0,665.0,660.0,6.774223886357614,2020-12-26,2020-21,874.0,641.75,10.075566750629728
0.204041449440723,0.10815967773744095,-0.16330245084757689,-0.21060856824451335,10.075566750629728,31.23966942148759,0.20280742224610063,0.49999999999999994,0.8660254037844387,0.6736956436465571,-0.7390089172206593,0,1,1,7.0,0.03511548403131037,-0.06889276637650177,-0.07642859706520522,-0.26756346117198593,738.0,665.0,660.0,545.0,6.6052979209482015,2021-01-02,2020-21,738.0,712.5,-15.560640732265451
-0.01976282709319399,0.14916313831621864,0.05328136661293659,-0.21818076197208125,-15.560640732265451,10.075566750629728,0.15039763814719567,0.49999999999999994,0.8660254037844387,0.5264321628773561,-0.850217135729614,0,1,1,5.0,-0.12377107750100613,-0.13130690818970958,-0.3224417722964903,-0.23818142867875025,665.0,660.0,545.0,593.0,6.501289670540389,2021-01-09,2020-21,665.0,752.75,-9.891598915989164
-0.14347614858033797,-0.03946789817252583,0.1294580672368868,0.03357629553360475,-9.891598915989164,-15.560640732265451,0.1150853245201977,0.49999999999999994,0.8660254037844387,0.3612416661871533,-0.9324722294043557,0,1,1,5.0,-0.15101197926904142,-0.34214684337582213,-0.2578864997580821,-0.3967229446122982,660.0,545.0,593.0,516.0,6.493753839851686,2021-01-16,2020-21,660.0,767.75,-0.7518796992481258
-0.1064567375824188,-0.09892090689371535,0.005087343514096787,0.1740133089235094,-0.7518796992481258,-9.891598915989164,0.13585874217949304,0.49999999999999994,0.8660254037844387,0.18374951781657037,-0.9829730996839018,0,0,1,5.0,-0.2975916016891995,-0.21333125807145947,-0.35216770292567556,-0.4201939237815324,545.0,593.0,516.0,482.0,6.302618975744905,2021-01-23,2020-21,545.0,734.25,-17.42424242424242
-0.1789581535315259,0.012176710575254823,0.019712541263958272,0.12372079167177041,-17.42424242424242,-0.7518796992481258,0.12230893909680193,0.49999999999999994,0.8660254037844387,1.2246467991473532e-16,-1.0,0,0,1,5.0,-0.09469780991378585,-0.23353425476800194,-0.3015604756238588,-0.30363301522583086,593.0,516.0,482.0,481.0,6.386879319362645,2021-01-30,2020-21,593.0,652.0,8.807339449541285
-0.03758443604682071,-0.12184477966456075,0.06929008444221996,0.0768259151309234,8.807339449541285,-17.42424242424242,0.09332554911031431,0.8660254037844386,0.5000000000000001,-0.18374951781657012,-0.9829730996839018,0,0,1,5.0,-0.1764208809010368,-0.24444710175689366,-0.24651964135886573,-0.21185765965794712,516.0,482.0,481.0,498.0,6.248042874508429,2021-02-06,2020-21,516.0,615.75,-12.98482293423272
-0.11412278827137712,0.024713656582838972,-0.05954668703490107,0.13158817707187964,-12.98482293423272,8.807339449541285,0.10878336964852083,0.8660254037844386,0.5000000000000001,-0.3612416661871527,-0.9324722294043559,0,0,1,4.0,-0.18214900912723397,-0.18422154872920604,-0.14955956702828743,-0.21583640511090874,482.0,481.0,498.0,466.0,6.180016653652572,2021-02-13,2020-21,482.0,578.5,-6.5891472868217065
-0.10225009324343404,-0.03422387238757718,0.10461257246663891,0.020352228848898868,-6.5891472868217065,-12.98482293423272,0.08803490092541717,0.8660254037844386,0.5000000000000001,-0.5264321628773558,-0.8502171357296141,0,0,1,4.0,-0.1043226328454061,-0.0696606511444875,-0.1359374892271088,-0.22782740062663542,481.0,498.0,466.0,425.0,6.1779441140506,2021-02-20,2020-21,481.0,534.0,-0.20746887966804906
-0.07395976911528823,-0.07188722951331616,-0.0038610086574593083,0.13497543619675678,-0.20746887966804906,-6.5891472868217065,0.1015059799786086,0.8660254037844386,0.5000000000000001,-0.6736956436465572,-0.7390089172206591,0,0,1,4.0,-0.03929778741436962,-0.10557462549699093,-0.19746453689651755,-0.2188176613670869,498.0,466.0,425.0,416.0,6.212606095751519,2021-02-27,2020-21,498.0,518.0,3.534303534303529
0.007543410172858422,-0.027118571528060187,-0.02504603192608812,0.04298018892976874,3.534303534303529,-0.20746887966804906,0.033302066502377506,1.0,6.123233995736766e-17,-0.7980172272802389,-0.6026346363792572,0,0,1,4.0,-0.05873342790976288,-0.1506233393092895,-0.17197646377985887,-0.24922531611382936,466.0,425.0,416.0,385.0,6.1463292576688975,2021-03-06,2020-21,466.0,494.25,-6.425702811244982
-0.03316966363972629,0.033107174442895015,-0.0015548072580235939,0.0005177323439484738,-6.425702811244982,3.534303534303529,0.02713754045187912,1.0,6.123233995736766e-17,-0.895163291355062,-0.44573835577653886,0,0,1,3.3333333333333335,-0.1250595750392529,-0.14641269950982227,-0.22366155184379277,-0.26599591567035397,425.0,416.0,385.0,369.0,6.054439346269371,2021-03-13,2020-21,425.0,481.75,-8.798283261802576
-0.09509675540910578,-0.0032068440095791573,0.06306999407304215,0.028408012372123537,-8.798283261802576,-6.425702811244982,0.06674573746994773,1.0,6.123233995736766e-17,-0.961825643172819,-0.2736629900720831,0,0,1,3.3333333333333335,-0.11644987987967514,-0.19369873221364564,-0.23603309604020684,-0.05596633163334097,416.0,385.0,369.0,442.0,6.0330862217988015,2021-03-20,2020-21,416.0,467.5,-2.117647058823524
